hostname;interface;link_state;admin_state;vlan;ip;description
DC-WAN-RTR-01;TenGigabitEthernet0/0/0;up;up;;;.: Connect to DC-SW-LEAF1-BDR-L3 Port Eth :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/1;up;up;;;.:Connect to DC-SW-LEAF2-BDR-L3 Eth :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/2;up;up;;;.: MPLS to DC-SW-LEAF1-BDR-L3 Eth :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/3;up;up;;;.: MPLS to DC-SW-LEAF2-BDR-L3 Eth :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/4;up;up;;;.: Metro-E to DC-SW-LEAF1-BDR-L3 Eth :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/5;up;up;;;.: Metro-E to DC-SW-LEAF2-BDR-L3 Eth :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/6;up;up;;;
DC-WAN-RTR-01;TenGigabitEthernet0/0/7;up;up;1;;
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.1;up;up;;;
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.2;administratively down;down;140;192.168.100.77;MULTIMEDIA KANWIL 1 MEDAN | 192.168.100.77
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.3;administratively down;down;650;192.168.100.178;MULTIMEDIA KC SOLO | 192.168.100.178
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.4;up;up;467;192.168.100.209;MULTIMEDIA PLAZA BBD | 192.168.100.209
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.5;administratively down;down;;;MULTIMEDIA KC BALIKPAPAN | 192.168.101.33
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.6;up;up;;;
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.7;up;up;;;MULTIMEDIA KANWIL MAKASSAR | 192.168.101.9
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.8;administratively down;down;;;MULTIMEDIA PEKANBARU | 192.168.100.45
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.10;up;up;923;192.168.102.185;TESTING MULTIMEDIA KANWIL MAKASSAR | 192.168.102.185
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.11;administratively down;down;225;;LINK MULTIMEDIA_BANDUNG
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.12;up;up;;;
DC-WAN-RTR-01;TenGigabitEthernet0/0/7.13;up;up;;;KC SALEMBA VCON Hassanuddin| 192.168.100.65
DC-WAN-RTR-01;TenGigabitEthernet0/0/8;up;up;;10.0.252.122;.: BACKBONE DWDM REMPOA - SIGMA TELKOM
DC-WAN-RTR-01;TenGigabitEthernet0/0/9;administratively down;down;;2.2.2.1;.: BACKBONE DWDM REMPOA - SIGMA INDOSAT :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/10;up;up;;10.220.254.249;.: Connect to DC-CORE-01 :.
DC-WAN-RTR-01;TenGigabitEthernet0/0/11;down;down;;;
DC-WAN-RTR-01;GigabitEthernet0;up;up;;10.0.122.28;
DC-WAN-RTR-01;Loopback0;up;up;;10.0.124.51;
DC-WAN-RTR-01;Loopback100;administratively down;down;;10.9.9.9;
DC-WAN-RTR-01;Port-channel1;up;up;1;;.: UPSTREAM ISP MPLS :.
DC-WAN-RTR-01;Port-channel1.3;up;up;12;181.181.2.10;.: Connect to MPLS ICON :.
DC-WAN-RTR-01;Port-channel1.5;up;up;14;192.168.255.102;.: Connect to MPLS ARTAKOM OUTLET :.
DC-WAN-RTR-01;Port-channel1.6;up;up;15;192.168.255.94;.: Connect to MPLS ARTAKOM ATM :.
DC-WAN-RTR-01;Port-channel1.7;up;up;16;192.168.76.2;.: Connect to MPLS TELKOM :.
DC-WAN-RTR-01;Port-channel1.8;up;up;2001;10.0.126.229;.: BACKBONE REMPOA - THAMRIN LINTAS :.
DC-WAN-RTR-01;Port-channel1.9;up;up;2003;10.0.126.233;.: BACKBONE REMPOA - THAMRIN ICON :.
DC-WAN-RTR-01;Port-channel1.10;administratively down;down;30;10.0.126.241;BACKBONE DWDM REMPOA - SIGMA INDOSAT
DC-WAN-RTR-01;Port-channel1.11;up;up;31;192.168.255.65;BACKHAUL WINCOR 3C
DC-WAN-RTR-01;Port-channel1.12;up;up;32;192.168.255.74;.: Connect to MPLS SANATEL-POC :.
DC-WAN-RTR-01;Port-channel1.13;up;up;33;192.168.255.81;.: Connect to VSAT TANGARA-POC :.
DC-WAN-RTR-01;Port-channel1.14;up;up;2002;10.0.126.153;description .: BACKBONE REMPOA - TOWER LINTAS :. TEMPORARY SHUT
DC-WAN-RTR-01;Port-channel1.15;up;up;2004;10.0.126.161;.: BACKBONE REMPOA - TOWER ICON :. TEMPORARY SHUT
DC-WAN-RTR-01;Port-channel2;up;up;1;;.: UPSTREAM ISP METRO-E ICON :.
DC-WAN-RTR-01;Port-channel2.1;up;up;33;192.168.102.161;WISMA ANTARA
DC-WAN-RTR-01;Port-channel2.2;up;up;59;192.168.254.254;TEST_METRO_DC_REMPOA
DC-WAN-RTR-01;Port-channel2.3;up;up;102;30.52.33.1;KCP CILEDUG CIREBON
DC-WAN-RTR-01;Port-channel2.4;up;up;108;192.168.100.145;KCP SITEBA | 192.168.100.146
DC-WAN-RTR-01;Port-channel2.5;up;up;109;30.53.32.1;KCP BATANG
DC-WAN-RTR-01;Port-channel2.6;up;up;116;192.168.102.137;KCP CILANDAK | 192.168.102.137
DC-WAN-RTR-01;Port-channel2.7;up;up;117;192.168.102.237;KC YOGYAKARTA NEW
DC-WAN-RTR-01;Port-channel2.8;up;up;131;192.168.102.193;KCP KLENDER | 192.168.102.193
DC-WAN-RTR-01;Port-channel2.9;up;up;136;192.168.104.197;KCP KEMANG RAYA JAKARTA | 192.168.104.197
DC-WAN-RTR-01;Port-channel2.10;up;up;137;30.51.11.1;KCP CIRENDEU | 30.51.11.1
DC-WAN-RTR-01;Port-channel2.11;up;up;138;30.52.40.1;KCP CIKARANG JABABEKA : 30.52.40.1
DC-WAN-RTR-01;Port-channel2.12;up;up;139;30.52.43.1;KCP SIMPANG POMAD BOGOR | 30.52.43.1
DC-WAN-RTR-01;Port-channel2.13;up;up;141;30.50.62.1;KCP NUSANTARA DEPOK | 30.50.62.1
DC-WAN-RTR-01;Port-channel2.14;up;up;142;192.168.104.213;LINk KC BENGKULU_NEW
DC-WAN-RTR-01;Port-channel2.15;up;up;143;192.168.102.217;KCP KEBAYORAN LAMA | 192.168.102.217
DC-WAN-RTR-01;Port-channel2.16;up;up;144;30.55.10.1;CONNECT TO KCP KOTAGEDE YOGYAKARTA | 30.55.10.1
DC-WAN-RTR-01;Port-channel2.17;up;up;145;30.50.70.1;KCP PULOGADUNG TRADE CENTER | 30.50.70.1
DC-WAN-RTR-01;Port-channel2.18;up;up;146;30.50.77.1;KC CENGKARENG | 30.50.77.1
DC-WAN-RTR-01;Port-channel2.19;up;up;147;30.50.58.1;KCP HARMONI GAJAH MADA | 30.50.58.1
DC-WAN-RTR-01;Port-channel2.20;up;up;148;30.53.29.1;KC KENDAL | 30.53.29.1
DC-WAN-RTR-01;Port-channel2.21;up;up;150;30.55.8.1;KCP GODEAN
DC-WAN-RTR-01;Port-channel2.22;up;up;151;30.53.15.1;KCP PROBOLINGGO
DC-WAN-RTR-01;Port-channel2.23;up;up;;;
DC-WAN-RTR-01;Port-channel2.24;up;up;153;30.53.25.1;KCP WONOGIRI
DC-WAN-RTR-01;Port-channel2.25;up;up;154;30.50.37.1;KCP CAKUNG
DC-WAN-RTR-01;Port-channel2.26;up;up;155;30.52.22.1;KCP SUBANG OTISTA 1
DC-WAN-RTR-01;Port-channel2.27;up;up;156;30.52.25.1;KCP SETIA BUDI BANDUNG | 30.52.25.1
DC-WAN-RTR-01;Port-channel2.28;up;up;157;30.53.16.1;KCP BOYOLALI
DC-WAN-RTR-01;Port-channel2.29;up;up;158;30.52.34.1;KCP SUBANG PAMANUKAN
DC-WAN-RTR-01;Port-channel2.30;up;up;159;30.52.32.1;KCP INDRAMAYU | 30.52.32.2
DC-WAN-RTR-01;Port-channel2.31;up;up;160;30.52.28.1;KCP SUMEDANG
DC-WAN-RTR-01;Port-channel2.32;administratively down;down;161;;KCP TAMBUN
DC-WAN-RTR-01;Port-channel2.33;up;up;162;30.50.39.1;KCP CIKAMPEK
DC-WAN-RTR-01;Port-channel2.34;up;up;163;30.76.3.1;KCP BULELENG
DC-WAN-RTR-01;Port-channel2.35;up;up;;;CICURUG 30.52.30.1
DC-WAN-RTR-01;Port-channel2.36;up;up;165;192.168.100.125;KCP KLAMPIS
DC-WAN-RTR-01;Port-channel2.37;up;up;167;10.4.39.1;CFBC SURABAYA
DC-WAN-RTR-01;Port-channel2.38;up;up;168;192.168.102.13;KCP DEPOK 2
DC-WAN-RTR-01;Port-channel2.39;up;up;;;
DC-WAN-RTR-01;Port-channel2.40;up;up;170;192.168.102.53;KCP A YANI PONTIANAK | 192.168.102.53
DC-WAN-RTR-01;Port-channel2.41;up;up;171;192.168.102.49;LINK KCP MERUYA
DC-WAN-RTR-01;Port-channel2.42;up;up;172;10.5.116.1;DCA Kebun Sayur
DC-WAN-RTR-01;Port-channel2.43;up;up;174;192.168.102.73;FOC SOLO
DC-WAN-RTR-01;Port-channel2.44;up;up;176;30.52.27.1;KCP CITEUREUP
DC-WAN-RTR-01;Port-channel2.45;up;up;177;192.168.100.41;KC WARUNG BUNCIT | 192.168.100.41
DC-WAN-RTR-01;Port-channel2.46;up;up;216;192.168.101.245;KCP CIKINI JKT | i 192.168.101.245
DC-WAN-RTR-01;Port-channel2.47;up;up;227;192.168.100.29;KCP PADALARANG | 192.168.100.29
DC-WAN-RTR-01;Port-channel2.48;up;up;228;30.51.17.1;KC TANGERANG CITY | 30.51.17.1
DC-WAN-RTR-01;Port-channel2.49;administratively down;down;;;KANWIL 5 A YANI MAKASSAR | 192.168.101.9
DC-WAN-RTR-01;Port-channel2.50;up;up;237;192.168.104.205;KC MAMUJU
DC-WAN-RTR-01;Port-channel2.51;up;up;247;192.168.100.5;KCP KABANJAHE | 192.168.100.6
DC-WAN-RTR-01;Port-channel2.52;up;up;248;30.54.33.1;KCP LAMONGAN JATIM | 30.54.33.1
DC-WAN-RTR-01;Port-channel2.53;up;up;252;192.168.100.173;KCP_KALITIDU | 192.168.100.174
DC-WAN-RTR-01;Port-channel2.54;up;up;255;192.168.102.85;FOC BANDUNG
DC-WAN-RTR-01;Port-channel2.55;up;up;260;192.168.102.241;LINk KM 5 PALEMBANG (TESTING RELOKASI)
DC-WAN-RTR-01;Port-channel2.56;up;up;113;10.99.7.10;KCP MALANG SINGOSARI
DC-WAN-RTR-01;Port-channel2.57;up;up;270;192.168.104.209;LINk KC GORONTALO
DC-WAN-RTR-01;Port-channel2.58;up;up;282;192.168.100.165;KCP PACITAN | 192.168.100.165
DC-WAN-RTR-01;Port-channel2.59;up;up;287;192.168.100.181;KCP AUR BIRUGO TIGO BALEH | 192.168.100.181
DC-WAN-RTR-01;Port-channel2.60;up;up;318;192.168.101.197;KCP KEMANG PRATAMA BEKASI | 192.168.101.197
DC-WAN-RTR-01;Port-channel2.61;up;up;319;30.50.59.1;KCP GADING ORCHAD | 30.50.59.1
DC-WAN-RTR-01;Port-channel2.62;up;up;;;
DC-WAN-RTR-01;Port-channel2.63;up;up;324;192.168.102.17;KCP_MAJALENGKA | 192.168.102.17
DC-WAN-RTR-01;Port-channel2.64;up;up;325;192.168.101.249;CFBC SEMARANG
DC-WAN-RTR-01;Port-channel2.65;up;up;326;192.168.102.5;KCP PRINGSEWU | 192.168.102.5
DC-WAN-RTR-01;Port-channel2.66;up;up;327;192.168.101.193;KC CIBUBUR | 192.168.101.193
DC-WAN-RTR-01;Port-channel2.67;up;up;328;192.168.102.89;LINK AFO BOGOR
DC-WAN-RTR-01;Port-channel2.68;up;up;329;192.168.102.1;CFBC YOGYAKARTA
DC-WAN-RTR-01;Port-channel2.69;up;up;330;192.168.102.29;KCP PASAR MINGGU
DC-WAN-RTR-01;Port-channel2.70;up;up;331;30.50.40.5;KC BANYUWANGI | 30.50.40.5
DC-WAN-RTR-01;Port-channel2.71;up;up;332;192.168.102.9;KC SALATIGA | 192.168.102.9
DC-WAN-RTR-01;Port-channel2.72;up;up;;;KC SALATIGA | 192.168.102.9
DC-WAN-RTR-01;Port-channel2.73;up;up;;;KC SALATIGA | 192.168.102.9
DC-WAN-RTR-01;Port-channel2.74;administratively down;down;;;
DC-WAN-RTR-01;Port-channel2.75;up;up;334;10.35.32.2;AFO_BUKITTINGGI
DC-WAN-RTR-01;Port-channel2.76;up;up;335;30.53.33.1;KCP PURWODADI
DC-WAN-RTR-01;Port-channel2.77;up;up;336;192.168.100.213;KCP RING ROAD MEDAN | 192.168.100.213
DC-WAN-RTR-01;Port-channel2.78;up;up;337;192.168.101.153;KC YOGYAKARTA | 192.168.101.153
DC-WAN-RTR-01;Port-channel2.79;up;up;338;192.168.101.105;KC PURWOKERTO |
DC-WAN-RTR-01;Port-channel2.80;up;up;339;192.168.101.109;KC TEGAL 10.5.5.193
DC-WAN-RTR-01;Port-channel2.81;up;up;340;192.168.101.113;KC PATI | 192.168.101.113
DC-WAN-RTR-01;Port-channel2.82;up;up;341;192.168.101.129;KC TASIKMALAYA
DC-WAN-RTR-01;Port-channel2.83;up;up;342;192.168.101.97;KC PURWAKARTA
DC-WAN-RTR-01;Port-channel2.84;up;up;343;192.168.101.141;KC GARUT | 192.168.101.141
DC-WAN-RTR-01;Port-channel2.85;up;up;344;192.168.101.117;KC BANDUNG KOPO | 192.168.101.117
DC-WAN-RTR-01;Port-channel2.86;up;up;345;192.168.101.125;KC SUKABUMI | 192.168.101.125
DC-WAN-RTR-01;Port-channel2.87;up;up;346;192.168.101.145;KC CIANJUR | 192.168.101.145
DC-WAN-RTR-01;Port-channel2.88;up;up;347;192.168.101.177;KC BUKITTINGGI | 192.168.101.177
DC-WAN-RTR-01;Port-channel2.89;up;up;348;192.168.101.93;KC PAYAKUMBUH | 192.168.101.93
DC-WAN-RTR-01;Port-channel2.90;up;up;349;192.168.101.101;KC GRESIK 192.168.101.101
DC-WAN-RTR-01;Port-channel2.91;up;up;350;192.168.101.133;| in KC PAMEKASAN 192.168.101.133
DC-WAN-RTR-01;Port-channel2.92;up;up;351;192.168.101.89;LINK KC MALANG | 192.168.101.90
DC-WAN-RTR-01;Port-channel2.93;up;up;353;192.168.101.233;KC BOJONEGORO 192.168.101.233
DC-WAN-RTR-01;Port-channel2.94;up;up;233;192.168.105.117;AFO JAMBI
DC-WAN-RTR-01;Port-channel2.95;up;up;355;192.168.101.85;LINK KC LUBUK PAKAM | 192.168.101.73
DC-WAN-RTR-01;Port-channel2.96;up;up;356;192.168.101.169;LINK KC MEDAN PASAR 16 ILIR
DC-WAN-RTR-01;Port-channel2.97;up;up;357;192.168.101.69;KC BEKASI | 192.168.101.69
DC-WAN-RTR-01;Port-channel2.98;up;up;358;192.168.101.173;KC PANGKAL PINANG | 192.168.101.173
DC-WAN-RTR-01;Port-channel2.99;up;up;359;192.168.101.149;LINK KC MEDAN KP BARU
DC-WAN-RTR-01;Port-channel2.100;up;up;360;192.168.101.161;KC SIBOLGA | 192.168.101.161
DC-WAN-RTR-01;Port-channel2.101;up;up;361;192.168.101.185;KCP SILIWANGI CIREBON | 192.168.101.185
DC-WAN-RTR-01;Port-channel2.102;up;up;362;192.168.101.157;LINK KC MANADO
DC-WAN-RTR-01;Port-channel2.103;up;up;363;192.168.101.165;KC BANDARJAYA | 192.168.101.165
DC-WAN-RTR-01;Port-channel2.104;up;up;364;192.168.101.221;KC PLUIT 192.168.101.221
DC-WAN-RTR-01;Port-channel2.105;up;up;365;192.168.102.25;KCP PLERED CIREBON
DC-WAN-RTR-01;Port-channel2.106;up;up;367;192.168.101.209;KCP PADANG SIDEMPUAN
DC-WAN-RTR-01;Port-channel2.107;up;up;368;30.55.7.1;KCP WONOSARI
DC-WAN-RTR-01;Port-channel2.108;up;up;370;192.168.100.129;KCP JEMBATAN MERAH SBY
DC-WAN-RTR-01;Port-channel2.109;up;up;;;KCP_GUDANG_PELURU | 192.168.100.21
DC-WAN-RTR-01;Port-channel2.110;up;up;377;192.168.100.1;KCP GANDARIA JL RY BOGOR | 192.168.100.2
DC-WAN-RTR-01;Port-channel2.111;up;up;378;192.168.100.185;AREA CIREBON | 192.168.100.185
DC-WAN-RTR-01;Port-channel2.112;up;up;379;192.168.100.205;KC CIREBON | 192.168.100.206
DC-WAN-RTR-01;Port-channel2.113;administratively down;down;;;KC BENGKULU | 192.168.101.181
DC-WAN-RTR-01;Port-channel2.114;up;up;381;30.53.14.1;KCP SRAGEN
DC-WAN-RTR-01;Port-channel2.115;up;up;388;30.50.55.1;RFO_HASANUDIN
DC-WAN-RTR-01;Port-channel2.116;up;up;389;192.168.100.217;KCP JATINANGOR | 192.168.100.218
DC-WAN-RTR-01;Port-channel2.117;up;up;661;192.168.100.137;KCP CIKARANG | 192.168.100.137
DC-WAN-RTR-01;Port-channel2.118;up;up;408;192.168.102.69;CFBO DENPASAR RENON
DC-WAN-RTR-01;Port-channel2.119;up;up;409;30.50.87.1;KC KELAPA GADING | 30.50.87.1
DC-WAN-RTR-01;Port-channel2.120;up;up;410;192.168.101.229;KCP CIAMIS LINK BACKUP 192.168.101.229
DC-WAN-RTR-01;Port-channel2.121;up;up;421;30.50.86.1;KC PONDOK GEDE | 10.5.3.129
DC-WAN-RTR-01;Port-channel2.122;up;up;428;30.63.24.1;KC MEDAN GAJAH MADA
DC-WAN-RTR-01;Port-channel2.123;up;up;432;192.168.101.205;KC CIBINONG/CFBC CIBINONG
DC-WAN-RTR-01;Port-channel2.124;up;up;437;30.50.46.1;GRAHA MANDIRI | 30.50.46.2
DC-WAN-RTR-01;Port-channel2.125;up;up;441;192.168.100.225;KC PALEMBANG LEBAR DAUN | 192.168.100.225
DC-WAN-RTR-01;Port-channel2.126;up;up;447;30.50.82.1;CONNECT TO KC PONDOK KELAPA | 30.50.82.1
DC-WAN-RTR-01;Port-channel2.127;up;up;466;30.50.85.1;KC SUNTER AGUNG | 30.50.85.1
DC-WAN-RTR-01;Port-channel2.128;up;up;473;192.168.101.17;KCP HASAN BASRI BANJARMASIN | 192.168.101.17
DC-WAN-RTR-01;Port-channel2.129;up;up;474;30.50.54.1;IAG JL SURABAYA
DC-WAN-RTR-01;Port-channel2.130;up;up;486;30.53.26.1;KCP SEMARANG TIMUR | 30.53.26.1
DC-WAN-RTR-01;Port-channel2.131;up;up;487;30.54.38.1;KCP KRIAN | 30.54.38.2
DC-WAN-RTR-01;Port-channel2.132;up;up;488;30.75.2.1;KCP PRAYA
DC-WAN-RTR-01;Port-channel2.133;up;up;;;KCP PARIGI MUTONG
DC-WAN-RTR-01;Port-channel2.134;up;up;490;192.168.101.13;LINK KC SIMPANG PATAL NEW
DC-WAN-RTR-01;Port-channel2.135;up;up;491;192.168.101.225;KC MEDAN AKSARA | 192.168.101.225
DC-WAN-RTR-01;Port-channel2.136;up;up;505;192.168.101.237;LINK KC CIPUTAT
DC-WAN-RTR-01;Port-channel2.137;up;up;552;192.168.100.61;KCP TALUK KUANTAN | 192.168.100.62
DC-WAN-RTR-01;Port-channel2.138;up;up;584;30.52.39.1;KC BANDUNG SUCI A YANI | 30.52.39.1
DC-WAN-RTR-01;Port-channel2.139;up;up;533;192.168.100.37;LINK TO KCP RADIO DALAM | 192.168.100.37
DC-WAN-RTR-01;Port-channel2.140;up;up;587;192.168.100.9;KCP NASUTION | 192.168.100.10
DC-WAN-RTR-01;Port-channel2.141;up;up;588;192.168.100.33;KCP PADANG BULAN | 192.168.100.34
DC-WAN-RTR-01;Port-channel2.142;up;up;597;192.168.100.249;KCP MT HARYONO SEMARANG | 192.168.100.249
DC-WAN-RTR-01;Port-channel2.143;up;up;598;192.168.100.233;KCP AJIBARANG | 192.168.100.233
DC-WAN-RTR-01;Port-channel2.144;up;up;599;192.168.100.237;KCP MOJOSARI | 192.168.100.238
DC-WAN-RTR-01;Port-channel2.145;up;up;600;30.53.31.1;KCP BANJARNEGARA | 30.53.31.1
DC-WAN-RTR-01;Port-channel2.146;up;up;603;30.54.20.1;KCP KEPANJEN | 30.54.20.1
DC-WAN-RTR-01;Port-channel2.147;up;up;626;192.168.100.113;KCP PSR REBO | 192.168.100.114
DC-WAN-RTR-01;Port-channel2.148;up;up;628;192.168.100.89;KCP MENTENG BLORA | 192.168.100.90
DC-WAN-RTR-01;Port-channel2.149;up;up;629;192.168.100.69;KCP_JATIASIH | 192.168.100.69
DC-WAN-RTR-01;Port-channel2.150;up;up;630;192.168.100.81;KCP JATIBENING | 192.168.100.82
DC-WAN-RTR-01;Port-channel2.151;up;up;631;192.168.101.33;KC BALIKPAPAN | 192.168.101.33
DC-WAN-RTR-01;Port-channel2.152;up;up;634;30.50.78.1;LINK TO HAYAM WURUK JKT : 30.50.78.1
DC-WAN-RTR-01;Port-channel2.153;up;up;638;192.168.100.117;KCP CIDENG | 192.168.100.117
DC-WAN-RTR-01;Port-channel2.154;up;up;640;192.168.100.101;KCP PATROL | 192.168.100.102
DC-WAN-RTR-01;Port-channel2.155;up;up;641;192.168.100.93;KCP SUKANAGARA | 192.168.100.94
DC-WAN-RTR-01;Port-channel2.156;up;up;642;192.168.100.109;KK MANAHAN SOLO |192.168.100.109
DC-WAN-RTR-01;Port-channel2.157;up;up;643;192.168.103.217;KCP JAKARTA PASAR BARU
DC-WAN-RTR-01;Port-channel2.158;up;up;644;192.168.100.97;AFO BALIKPAPAN
DC-WAN-RTR-01;Port-channel2.159;up;up;645;192.168.100.73;KCP WARU | 192.168.100.74
